product_id,product_name,brand_id,category_id,selling_price,cost_price,launch_date
1,Nova Wireless Earbuds,1,1,1929.0,1162.5,2024-04-10
2,FitZone Bluetooth Speaker,7,1,1699.0,1054.12,2024-11-03
3,HomeNest Smart Watch,4,1,4509.0,3359.4,2024-06-26
4,StyleCo Power Bank,5,1,1059.0,629.85,2024-01-07
5,FreshMart USB Cable,6,1,1839.0,1086.27,2024-03-26
6,StyleCo Wireless Mouse,5,1,4899.0,2974.54,2024-03-02
7,StyleCo Men T-Shirt,5,2,2589.0,1894.57,2024-05-28
8,SmartLife Women Kurti,10,2,1189.0,712.8,2024-07-31
9,SmartLife Jeans,10,2,539.0,374.46,2024-06-29
10,UrbanX Sneakers,2,2,4559.0,2552.15,2025-04-09
11,TechPro Hoodie,3,2,4889.0,3305.11,2024-07-09
12,StyleCo Backpack,5,2,2649.0,1619.03,2024-04-26
13,SmartLife Mixer Grinder,10,3,2849.0,1665.27,2024-02-21
14,UrbanX Coffee Mug,2,3,4099.0,2626.35,2025-02-25
15,SmartLife Water Bottle,10,3,2739.0,1590.33,2024-07-10
16,Nova Cookware Set,1,3,3489.0,2172.05,2024-05-08
17,UrbanX Bedsheet,2,3,869.0,493.22,2024-04-06
18,SmartLife Storage Box,10,3,539.0,301.21,2025-03-19
19,BrightBuy Face Wash,8,4,1079.0,798.22,2024-09-03
20,UrbanX Shampoo,2,4,1069.0,808.03,2024-07-18
21,Nova Body Lotion,1,4,369.0,278.43,2024-12-08
22,BrightBuy Perfume,8,4,2439.0,1368.28,2024-07-18
23,Elite Lip Balm,9,4,4479.0,3201.38,2024-04-18
24,TechPro Hair Dryer,3,4,699.0,401.39,2024-01-17
25,StyleCo Yoga Mat,5,5,439.0,315.92,2024-11-09
26,HomeNest Cricket Bat,4,5,1969.0,1522.57,2024-07-29
27,FitZone Football,7,5,2839.0,1682.38,2025-05-05
28,SmartLife Skipping Rope,10,5,1069.0,750.3,2024-12-17
29,BrightBuy Dumbbells,8,5,1869.0,1063.46,2025-01-02
30,Nova Badminton Racket,1,5,1539.0,1123.43,2024-12-25
31,Elite Green Tea,9,6,2669.0,1702.41,2025-03-09
32,TechPro Dry Fruits,3,6,3929.0,2391.76,2024-11-19
33,Elite Oats,9,6,2509.0,1933.84,2024-04-28
34,UrbanX Coffee,2,6,2489.0,1440.64,2024-12-12
35,BrightBuy Honey,8,6,1059.0,729.05,2024-06-29
36,UrbanX Pasta,2,6,819.0,458.69,2024-09-29
37,BrightBuy Python Basics,8,7,2519.0,1440.5,2025-05-02
38,SmartLife SQL Guide,10,7,3989.0,3059.19,2025-02-17
39,HomeNest Data Analytics,4,7,3539.0,2107.19,2024-06-22
40,Nova Business Book,1,7,4279.0,2634.83,2024-02-01
41,FitZone Novel,7,7,329.0,245.01,2024-08-20
42,UrbanX Python Basics,2,7,2489.0,1801.19,2024-05-28
43,BrightBuy SQL Guide,8,7,599.0,429.81,2024-05-14
44,FitZone Building Blocks,7,8,2049.0,1210.57,2024-03-26
45,FreshMart Remote Car,6,8,4619.0,2826.58,2024-12-13
46,UrbanX Puzzle Set,2,8,4599.0,3297.37,2024-10-09
47,UrbanX Board Game,2,8,3969.0,2628.79,2025-02-10
48,BrightBuy Soft Toy,8,8,749.0,483.17,2025-02-24
49,Nova Building Blocks,1,8,3039.0,2099.18,2024-04-27
50,TechPro Remote Car,3,8,319.0,225.99,2024-10-21
